Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Какая планета вращается «лежа на боку» (ось наклонена на 98 градусов)?,Уран,Венера,Меркурий,Нептун,uranus.jpg
Что такое МКС?,Международная космическая станция,Модульная космическая система,Межпланетная космическая станция,Манёвренная космическая ступень,iss.jpg
Сколько планет в Солнечной системе?,8,9,7,10,eight_planets.jpg
Какая планета известна как «Красная планета»?,Марс,Юпитер,Венера,Меркурий,mars_red.jpg
Какая планета вращается в обратном направлении (ретроградное вращение)?,Венера,Уран,Нептун,Земля,venus_rotation.jpg
Как называется пояс астероидов между Марсом и Юпитером?,Главный пояс астероидов,Пояс Койпера,Облако Оорта,Пояс Эджуорта,asteroid_belt.jpg
Кто первым предложил гелиоцентрическую модель мира?,Николай Коперник,Птолемей,Галилео Галилей,Иоганн Кеплер,copernicus.jpg
Как называется остаток взорвавшейся сверхновой в созвездии Тельца?,Крабовидная туманность,Туманность Ориона,Туманность Киля,Туманность Кольцо,crab_nebula.jpg
Какой космический аппарат впервые вышел за пределы Солнечной системы?,Вояджер-1,Вояджер-2,Пионер-10,Новые Горизонты,voyager1.jpg
Сколько звезд в созвездии Южного Креста (главных образующих крест)?,4,5,3,6,southern_cross.jpg
Как называется процесс рождения звезды из газа и пыли?,Протозвезда,Сверхновая,Гелиевая вспышка,Конвекция,protostar.jpg
Какой газ преобладает на Юпитере и Сатурне?,Водород,Гелий,Метан,Углекислый газ,hydrogen.jpg
Как называется самая высокая гора в Солнечной системе (на Марсе)?,Олимп,Гора Эверест,Гора Шарпа,Пик Гюйгенса,olympus_mons.jpg
Что такое «пояс Койпера»?,Область ледяных тел за Нептуном,Пояс астероидов,Внешняя атмосфера Солнца,Кольца Сатурна,kuiper_belt.jpg
Как называется первая в мире ракета-носитель для полета человека в космос (СССР)?,Р-7 (Восток),Союз,Протон,Энергия,r7_rocket.jpg
Какова первая космическая скорость для Земли?,7.9 км/с,5 км/с,11.2 км/с,9.8 км/с,first_cosmic_speed.jpg
Что находится в центре нашей галактики?,Сверхмассивная черная дыра,Красный гигант,Шаровое скопление,Туманность,sagittarius_a.jpg
Как называется спутник Марса название которого переводится как «Страх»?,Фобос,Деймос,Европа,Тритон,phobos.jpg
Какая звезда станет следующей сверхновой в нашей галактике (кандидат)?,Бетельгейзе,Полярная звезда,Ригель,Процион,betelgeuse.jpg
Сколько астрономических единиц (а.е.) примерно до Плутона?,39.5 а.е.,1 а.е.,150 а.е.,10 а.е.,pluto_distance.jpg
Как называется явление прохождения планеты по диску Солнца?,Транзит,Затмение,Оккультация,Парад планет,venus_transit.jpg
Как называется российский (бывший советский) многоразовый космический корабль?,Буран,Шаттл,Dream Chaser,Клипер,buran.jpg
Какой астероид по мнению ученых погубил динозавров?,Чикшулуб,Апофис,Эрос,Гаспра,chicxulub.jpg
Какая туманность находится в созвездии Ориона и видна невооруженным глазом?,Туманность Ориона (M42),Туманность Андромеды,Туманность Конус,Туманность Северная Америка,orion_nebula.jpg
Как называется точка орбиты ближайшая к Солнцу?,Перигелий,Афелий,Перигей,Апогей,perihelion.jpg
Какой космонавт первым вышел в открытый космос?,Алексей Леонов,Эдвин Уайт,Юрий Гагарин,Владимир Комаров,leonov_spacewalk.jpg
Из чего в основном состоит хвост кометы?,Газ и пыль,Лед,Камни,Плазма,comet_tail.jpg
Как называется самая маленькая планета Солнечной системы?,Меркурий,Марс,Плутон,Венера,mercury_small.jpg
Что такое «созвездие»?,Группа звезд, образующих воображаемый узор,Любое скопление звезд,Часть галактики,Остаток сверхновой,constellation.jpg
Какая страна запустила первый спутник?,СССР,США,Китай,Германия,first_satellite.jpg
Как называется спутник Юпитера с вулканами?,Ио,Европа,Ганимед,Каллисто,io_volcano.jpg
Сколько времени нужно МКС чтобы облететь Землю?,90 минут,24 часа,12 часов,45 минут,iss_orbit.jpg
Как называется явление гравитационной линзы предсказанное Эйнштейном?,Гравитационное линзирование,Красное смещение,Червоточина,Фотонный слой,gravitational_lens.jpg
Какая звезда является Полярной (Северной)?,Полярис,Вега,Денеб,Альтаир,polaris.jpg
Что такое «световой год»?,Свет пролетает за год,Время полета света,Скорость света,Год со многими солнечными днями,light_year.jpg
Как называется выжженная пустыня на Венере где сел советский аппарат?,Земля Венеры,Равнина Иштар,Плато Лакшми,Долина Дианы,venera_landing.jpg
В каком году Юрий Гагарин совершил полет в космос?,1961,1957,1965,1969,gagarin_1961.jpg
Как называется самый большой спутник в Солнечной системе?,Ганимед (Юпитер),Титан (Сатурн),Луна (Земля),Каллисто,ganymede.jpg
Что такое «экзопланета»?,Планета вне Солнечной системы,Карликовая планета,Планета-гигант,Планета-сирота,exoplanet.jpg
Как называется рой микрометеороидов вокруг Сатурна создающий «колючки» на кольцах?,Пропиллеры,Странники,Пастухи,Драконы,propellers_saturn.jpg
Сколько крупных лун у Марса?,2,1,3,0,mars_moons.jpg
Как называется космический телескоп запущенный в 1990 году?,Хаббл,Джеймс Уэбб,Спитцер,Чандра,hubble.jpg
Какой химический элемент преобладает в недрах Земли?,Железо,Кислород,Кремний,Магний,earth_core_iron.jpg
Какая комета была видна даже днем в 2020 году?,NEOWISE,Галлей,Хейла-Боппа,ISON,comet_neowise.jpg
Как называется сила удерживающая планеты на орбитах?,Гравитация,Магнетизм,Кориолисова сила,Центробежная сила,gravity.jpg
Какой космический аппарат доставил на Землю образцы с астероида Рюгу?,Хаябуса-2,Осирис-Рекс,Луна-24,Кассини,hayabusa2.jpg
Какая из планет-гигантов имеет наименьшую плотность (могла бы плавать в воде)?,Сатурн,Юпитер,Уран,Нептун,saturn_float.jpg
Что такое «маскон» на Луне?,Граво-магнитная аномалия,Кратер,Море,Гора,mascon_moon.jpg
Какая миссия первой доставила людей на Луну?,Аполлон-11,Аполлон-13,Восток-1,Джемини-7,apollo11.jpg
Как называется освещенная часть Луны, растущая после новолуния?,Молодая Луна,Ущербная Луна,Полумесяц,Четверть,young_moon.jpg
Какова температура на поверхности Венеры (в градусах Цельсия)?,+462 °C,+100 °C,0 °C,+1200 °C,venus_temperature.jpg
Как называется скопление звезд в виде шара (например M13)?,Шаровое скопление,Рассеянное скопление,Галактика,Туманность,globular_cluster.jpg
Кто изобрел первый телескоп для наблюдения за звездами?,Галилео Галилей,Исаак Ньютон,Ханс Липперсгей,Иоганн Кеплер,galileo_telescope.jpg
Как называется зона где гравитация черной дыры не отпускает даже свет?,Горизонт событий,Эргосфера,Сингулярность,Аккреционный диск,event_horizon.jpg
Сколько созвездий официально признано Международным астрономическим союзом?,88,48,108,12,constellations_88.jpg
Как называется выброс плазмы из атмосферы Солнца?,Корональный выброс массы,Солнечный ветер,Вспышка,Протуберанец,cme_sun.jpg
Какой газ придает Нептуну и Урану синий цвет?,Метан,Водород,Гелий,Аммиак,methane_blue.jpg
Как называется самый известный астероид который может столкнуться с Землей в 2029/2036 (открыт в 2004)?,Апофис,Бенну,Дидим,Эрос,apophis.jpg
В каком созвездии находится звезда Сириус?,Большой Пес,Орион,Малый Пес,Единорог,sirius_constellation.jpg
Как называется ледяной карлик который крупнее Плутона?,Эрида,Церера,Макемаке,Хаумеа,eris.jpg
Какой российский луноход работал на Луне в 1970 году?,Луноход-1,Луноход-2,Марсоход,Селеноход,lunokhod1.jpg
Какая планета видна с Земли как «Утренняя звезда»?,Венера,Юпитер,Марс,Меркурий,venus_morning_star.jpg
Что такое «метеорит»?,Упавший на Землю метеороид,Сгоревшая в атмосфере частица,Кометное ядро,Вспышка на Солнце,meteorite_fall.jpg
Сколько времени длится день на Юпитере (в земных часах)?,10 часов,24 часа,5 часов,48 часов,jupiter_day.jpg
Как называется эффект изменения частоты света от удаляющихся галактик?,Красное смещение,Эффект Доплера,Фиолетовое смещение,Реликтовое излучение,redshift.jpg
Как называется самый высокий действующий вулкан Солнечной системы (на Ио)?,Локи,Олимп,Этна,Маат,loki_patera.jpg
Какой космический зонд исследовал систему Сатурна 13 лет и был затоплен в его атмосфере?,Кассини,Галилео,Вояджер-1,Нью-Горизонс,cassini.jpg
Как называется спутник который всегда повернут к планете одной стороной (синхронное вращение)?,Синхронный спутник,Троянский,Пастух,Квазиспутник,synchronous_moon.jpg
Из какого материала в основном состоят метеориты найденные на Земле?,Железо и никель,Кремний,Углерод,Лед,iron_meteorite.jpg
Как называется начальное взрывное расширение Вселенной?,Большой взрыв,Инфляция,Конденсация,Сингулярность,big_bang.jpg
Какая миссия NASA впервые посадила вертолет на другую планету (Марс)?,Марс 2020 (Ingenuity),Марс Одиссей,Марс-3,Спирит,ingenuity_helicopter.jpg
Что такое «карликовая планета»?,Небесное тело, не очистившее окрестности своей орбиты,Маленькая планета,Спутник планеты,Астероид,dwarf_planet.jpg
Как называется скопление галактик в которое входит Млечный Путь?,Местная группа,Скопление Девы,Сверхскопление Ланиакея,Скопление Гидры,local_group.jpg
Какой космонавт провел в космосе больше всего времени (суммарно) в мире?,Геннадий Падалка,Сергей Крикалёв,Юрий Маленченко,Валерий Поляков,padalka_record.jpg
Какая звезда является самой массивной из известных?,R136a1,UY Щита,Стивенсон 2-18,Бетельгейзе,r136a1.jpg
Как называются два облака газа и пыли у южного полюса Юпитера?,Голубые завихрения,Большое красное пятно,Южные тропические возмущения,Белые овалы,blue_swirls_jupiter.jpg
С какой планеты идет самый сильный «алмазный дождь» (по теории)?,Сатурн,Юпитер,Уран,Нептун,saturn_diamond_rain.jpg
